[Node list of texts and gods attested in them. This data was used for creating networks with full texts.]
Text	God
blms/P402525	Asakku
blms/P402525	Enki
blms/P402525	Ea
blms/P402525	Asari
blms/P402525	Marduk
blms/P413925	Manungal
blms/P413925	Nintinuga
blms/P413925	Baba
blms/P414124	Dikudmah
blms/P414124	Anunnaki
blms/P414132	Amanki
blms/P414132	Ea
blms/P414140	Uraš
blms/P414140	Enlil
blms/P414140	Ninurta
blms/P414370	Uraš
blms/P414370	Gašankatešasiga
blms/P414370	Nanaya
blms/P414370	Enki
blms/P414405	Gašanana
blms/P414405	Inanak
blms/P414410	Adad
blms/P414410	Anunnaki
blms/P424613	Ea
blms/P424613	Nisaba
blms/P424891	Suen
blms/P424891	Sin
blms/P451987	Gula
blms/P451987	Nunamnir
blms/P451987	Anu
blms/P452027	Inanak
blms/P452027	Ištar
blms/P452027	Suen
blms/P452027	Sin
blms/X000009	Utu
blms/X000009	Enki
blms/X000009	Ea
blms/X000009	Damgalnunak
blms/X000009	Damkina
blms/X000009	Asalluhi
blms/X000009	Marduk
blms/X000010	Enki
blms/X000010	Ea
blms/X000010	Marduk
cams-anzu/Q002769	Mami
cams-anzu/Q002769	Enlil
cams-anzu/Q002769	Ninurta
cams-anzu/Q002769	Anunnaki
cams-anzu/Q002769	Anzu
cams-anzu/Q002769	Igigi
cams-anzu/Q002769	Duranki
cams-anzu/Q002769	Ea
cams-anzu/Q002769	Niššiku
cams-anzu/Q002769	Anu
cams-anzu/Q002769	Adad
cams-anzu/Q002769	Gibil
cams-anzu/Q002769	Annunitu
cams-anzu/Q002769	Šara
cams-anzu/Q002769	Ištar
cams-anzu/Q002769	Dagan
cams-anzu/Q002769	Belet-ili
cams-anzu/Q002770	Anzu
cams-anzu/Q002770	Enlil
cams-anzu/Q002770	Ninurta
cams-anzu/Q002770	Duranki
cams-anzu/Q002770	Ea
cams-anzu/Q002770	Mami
cams-anzu/Q002770	Anu
cams-anzu/Q002770	Dagan
cams-anzu/Q002770	Niššiku
cams-anzu/Q002770	Šarur
cams-anzu/Q002771	Anzu
cams-anzu/Q002771	Ninurta
cams-anzu/Q002771	Dagan
cams-anzu/Q002771	Anu
cams-anzu/Q002771	Anunnaki
cams-anzu/Q002771	Enlil
cams-anzu/Q002771	Nusku
cams-anzu/Q002771	Birdu
cams-anzu/Q002771	Nisaba
cams-anzu/Q002771	Ninŋirsuk
cams-anzu/Q002771	Duranki
cams-anzu/Q002771	Ištaran
cams-anzu/Q002771	Zababa
cams-anzu/Q002771	Lugalbanda
cams-anzu/Q002771	Lugal-Maradak
cams-anzu/Q002771	Tišpak
cams-anzu/Q002771	Belet-ili
cams-anzu/Q002771	Papsukkal
cams-anzu/Q002771	Niššiku
cams-barutu/P240196	Marduk
cams-barutu/P240196	Enlil
cams-barutu/P240196	Šamaš
cams-barutu/P240196	Ninurta
cams-barutu/P240196	Ištar
cams-barutu/P240212	Ištar
cams-barutu/P240212	Šamaš
cams-gkab/P273162	Gilgameš
cams-gkab/P273162	Enkidu
cams-gkab/P273162	Alu
cams-gkab/P273163	Šamaš
cams-gkab/P273163	Anzu
cams-gkab/P273163	Gilgameš
cams-gkab/P273163	Enkidu
cams-gkab/P273163	Enlil
cams-gkab/P273200	Gilgameš
cams-gkab/P273200	Lugalbanda
cams-gkab/P273200	Belet-ili
cams-gkab/P273200	Nudimmud
cams-gkab/P338317	Mummu
cams-gkab/P338317	Ea
cams-gkab/P338317	Anu
cams-gkab/P338317	Šamaš
cams-gkab/P338317	Tiamat
cams-gkab/P338318	Ea
cams-gkab/P338318	Anšar
cams-gkab/P338318	Tiamat
cams-gkab/P338319	Anu
cams-gkab/P338319	Marduk
cams-gkab/P338319	Tiamat
cams-gkab/P338319	Qingu
cams-gkab/P338319	Anšar
cams-gkab/P338319	Nudimmud
cams-gkab/P338319	Ea
cams-gkab/P338321	Marduk
cams-gkab/P338321	Tiamat
cams-gkab/P338321	Anu
cams-gkab/P338321	Nudimmud
cams-gkab/P338322	Anšar
cams-gkab/P338322	Tiamat
cams-gkab/P338324	Anšar
cams-gkab/P338324	Nudimmud
cams-gkab/P338324	Marduk
cams-gkab/P338324	Tiamat
cams-gkab/P338325	Ea
cams-gkab/P338325	Marduk
cams-gkab/P338325	Nudimmud
cams-gkab/P338325	Anu
cams-gkab/P338325	Anunnaki
cams-gkab/P338325	Igigi
cams-gkab/P338325	Anšar
cams-gkab/P338325	Asalluhi
cams-gkab/P338325	Šamaš
cams-gkab/P338326	Asari
cams-gkab/P338326	Asaralimnuna
cams-gkab/P338326	Anu
cams-gkab/P338326	Enlil
cams-gkab/P338326	Ea
cams-gkab/P338326	Niššiku
cams-gkab/P338326	Tutu
cams-gkab/P338326	Šazu
cams-gkab/P338326	Enbilulu
cams-gkab/P338326	Anšar
cams-gkab/P338326	Qingu
cams-gkab/P338326	Girra
cams-gkab/P338326	Tiamat
cams-gkab/P338326	Marduk
cams-gkab/P338326	Igigi
cams-gkab/P338327	Tiamat
